wl	n	k
1.095	5.5543	1.20527
1.405	5.43186	0.80634
1.41	5.43035	0.80183
1.415	5.42886	0.79736
1.42	5.42739	0.79293
1.425	5.42592	0.78854
1.43	5.42446	0.78419
1.435	5.42302	0.77988
1.44	5.42159	0.77561
1.445	5.42017	0.77138
1.45	5.41876	0.76718
1.455	5.41737	0.76302
1.46	5.41598	0.7589
1.465	5.41461	0.75481
1.47	5.41324	0.75076
1.475	5.41189	0.74674
1.48	5.41055	0.74276
1.485	5.40922	0.73881
1.49	5.40789	0.73489
1.495	5.40658	0.73101
1.5	5.40528	0.72716
1.505	5.40399	0.72334
1.51	5.40271	0.71955
1.515	5.40144	0.71579
1.52	5.40018	0.71207
1.525	5.39893	0.70837
1.53	5.39769	0.7047
1.535	5.39646	0.70107
1.54	5.39523	0.69746
1.545	5.39402	0.69388
1.55	5.39282	0.69033
1.555	5.39162	0.68681
1.56	5.39043	0.68331
1.565	5.38926	0.67984
1.57	5.38809	0.6764
1.575	5.38693	0.67299
1.58	5.38578	0.6696
1.585	5.38463	0.66623
1.59	5.3835	0.6629
1.595	5.38237	0.65958
1.6	5.38126	0.6563
1.605	5.38015	0.65303
1.61	5.37904	0.64979
1.615	5.37795	0.64658
1.62	5.37686	0.64339
1.625	5.37579	0.64022
1.63	5.37471	0.63707
1.635	5.37365	0.63395
1.64	5.3726	0.63085
1.645	5.37155	0.62777
1.65	5.37051	0.62472
1.655	5.36947	0.62168
1.66	5.36845	0.61867
1.665	5.36743	0.61568
1.67	5.36641	0.61271
1.675	5.36541	0.60976
1.68	5.36441	0.60683
1.685	5.36342	0.60392
1.69	5.36243	0.60103
1.695	5.36145	0.59816
1.7	5.36048	0.59531
1.705	5.35952	0.59248
1.71	5.35856	0.58967
1.715	5.35761	0.58687
1.72	5.35666	0.5841
1.725	5.35572	0.58134
1.73	5.35478	0.5786
1.735	5.35386	0.57588
1.74	5.35293	0.57318
1.745	5.35202	0.5705
1.75	5.35111	0.56783
1.755	5.3502	0.56518
1.76	5.34931	0.56255
1.765	5.34841	0.55993
1.77	5.34753	0.55733
1.775	5.34664	0.55475
1.78	5.34577	0.55218
1.785	5.3449	0.54963
1.79	5.34403	0.5471
1.795	5.34317	0.54458
1.8	5.34232	0.54208
1.805	5.34147	0.53959
1.81	5.34062	0.53712
1.815	5.33978	0.53466
1.82	5.33895	0.53222
1.825	5.33812	0.52979
1.83	5.3373	0.52738
1.835	5.33648	0.52498
1.84	5.33566	0.5226
1.845	5.33485	0.52023
1.85	5.33405	0.51787
1.855	5.33325	0.51553
1.86	5.33245	0.5132
1.865	5.33166	0.51089
1.87	5.33087	0.50859
1.875	5.33009	0.5063
1.88	5.32932	0.50403
1.885	5.32854	0.50177
1.89	5.32777	0.49952
1.895	5.32701	0.49729
1.9	5.32625	0.49506
1.905	5.32549	0.49286
1.91	5.32474	0.49066
1.915	5.32399	0.48847
1.92	5.32325	0.4863
1.925	5.32251	0.48414
1.93	5.32178	0.48199
1.935	5.32104	0.47986
1.94	5.32032	0.47773
1.945	5.31959	0.47562
1.95	5.31887	0.47352
1.955	5.31816	0.47143
1.96	5.31745	0.46935
1.965	5.31674	0.46728
1.97	5.31603	0.46523
1.975	5.31533	0.46318
1.98	5.31463	0.46115
1.985	5.31394	0.45913
1.99	5.31325	0.45711
1.995	5.31256	0.45511
2	5.31188	0.45312
2.01	5.31052	0.44917
2.02	5.30918	0.44526
2.03	5.30785	0.44139
2.04	5.30653	0.43756
2.05	5.30523	0.43377
2.06	5.30394	0.43002
2.07	5.30266	0.4263
2.08	5.30139	0.42263
2.09	5.30013	0.41898
2.1	5.29889	0.41538
2.11	5.29766	0.41181
2.12	5.29644	0.40827
2.13	5.29522	0.40477
2.14	5.29402	0.4013
2.15	5.29283	0.39787
2.16	5.29165	0.39446
2.17	5.29048	0.39109
2.18	5.28932	0.38775
2.19	5.28817	0.38444
2.2	5.28703	0.38116
2.21	5.2859	0.37791
2.22	5.28478	0.37469
2.23	5.28367	0.3715
2.24	5.28256	0.36834
2.25	5.28147	0.36521
2.26	5.28038	0.3621
2.27	5.2793	0.35902
2.28	5.27823	0.35597
2.29	5.27717	0.35294
2.3	5.27611	0.34994
2.31	5.27506	0.34697
2.32	5.27402	0.34402
2.33	5.27299	0.34109
2.34	5.27196	0.33819
2.35	5.27095	0.33532
2.36	5.26994	0.33247
2.37	5.26893	0.32964
2.38	5.26793	0.32684
2.39	5.26694	0.32405
2.4	5.26596	0.3213
2.41	5.26498	0.31856
2.42	5.26401	0.31584
2.43	5.26304	0.31315
2.44	5.26208	0.31048
2.45	5.26113	0.30783
2.46	5.26018	0.3052
2.47	5.25924	0.30259
2.48	5.25831	0.3
2.49	5.25738	0.29743
2.5	5.25645	0.29488
2.51	5.25553	0.29235
2.52	5.25462	0.28984
2.53	5.25371	0.28735
2.54	5.25281	0.28488
2.55	5.25191	0.28242
2.56	5.25101	0.27999
2.57	5.25012	0.27757
2.58	5.24924	0.27517
2.59	5.24836	0.27279
2.6	5.24749	0.27042
2.61	5.24661	0.26807
2.62	5.24575	0.26574
2.63	5.24489	0.26343
2.64	5.24403	0.26113
2.65	5.24318	0.25885
2.66	5.24233	0.25658
2.67	5.24148	0.25433
2.68	5.24064	0.2521
2.69	5.23981	0.24988
2.7	5.23897	0.24768
2.71	5.23815	0.24549
2.72	5.23732	0.24332
2.73	5.2365	0.24117
2.74	5.23568	0.23902
2.75	5.23487	0.2369
2.76	5.23406	0.23478
2.77	5.23325	0.23268
2.78	5.23245	0.2306
2.79	5.23165	0.22853
2.8	5.23085	0.22647
2.81	5.23006	0.22443
2.82	5.22926	0.2224
2.83	5.22848	0.22038
2.84	5.22769	0.21838
2.85	5.22691	0.21639
2.86	5.22613	0.21441
2.87	5.22536	0.21245
2.88	5.22459	0.21049
2.89	5.22382	0.20856
2.9	5.22305	0.20663
2.91	5.22229	0.20471
2.92	5.22153	0.20281
2.93	5.22077	0.20092
2.94	5.22002	0.19904
2.95	5.21926	0.19718
2.96	5.21851	0.19532
2.97	5.21777	0.19348
2.98	5.21702	0.19165
2.99	5.21628	0.18983
3	5.21554	0.18802
3.01	5.2148	0.18622
3.02	5.21407	0.18443
3.03	5.21333	0.18265
3.04	5.2126	0.18089
3.05	5.21187	0.17913
3.06	5.21115	0.17739
3.07	5.21042	0.17566
3.08	5.2097	0.17393
3.09	5.20898	0.17222
3.1	5.20827	0.17052
3.11	5.20755	0.16882
